EmpCode,ContractType,EmployeeType,Unit,WorkPlace,DateStart,DateEnd,,,,
A000001,,,A1350,A,2012-07-05,2012-07-28,,,,
A000002,,,A1390,A,2012-07-07,2012-08-20,,,,
A010001,002,201,A1230,A001017,2014-07-28,2014-09-09,,,,
A010002,002,201,A1110,A001011,2015-05-27,2015-06-04,,,,
A010003,002,201,A1110,A2321,2016-03-21,2016-07-06,,,,
A010004,001,101,A1210,10034,2020-01-01,2023-04-30,,,,
A010005,002,201,A1220,A2321,2017-07-01,2017-10-19,,,,
A010006,002,201,A1350,A001118,2017-05-15,2017-06-03,,,,
A010007,006,401,A1110,A2321,2017-06-16,2017-08-31,,,,
A010008,002,201,ALN2120,A2233,2019-04-20,2019-07-04,,,,
A010009,004,301,A1220,A2351,2018-07-01,2018-09-10,,,,
A010010,002,201,A0700,A001011,2021-07-12,2021-08-30,,,,
A010011,013,201,A1120,10015,2022-06-07,2022-09-09,,,,
A010050,001,101,A1220,A001073,2003-03-08,2015-10-31,,,,
A010051,002,201,A2110,A2233,2013-04-28,2013-10-03,,,,
A010052,002,201,A1220,A2362,2013-03-18,2014-08-18,,,,
A010053,,,A1220,A2221,2012-06-23,2012-08-26,,,,
A010054,002,201,A1110,A2321,2014-06-17,2014-08-20,,,,
A010055,001,101,A3230,10044,2020-01-01,NULL,,,,
A010056,002,201,A1110,A2321,2015-07-04,2015-11-10,,,,
A010057,002,201,A1220,A2221,2015-08-14,2015-09-22,,,,
A010058,006,401,ALN,A001063,2018-06-07,2018-09-23,,,,
A010060,002,201,A1110,A2321,2016-03-21,2018-03-31,,,,
A010061,013,201,A1210,10147,2023-05-08,NULL,,,,
A010062,002,201,A1293,A3032,2017-07-22,2017-11-20,,,,
A010063,002,201,A1120,A2321,2019-04-24,2020-01-23,,,,
A010064,002,201,A1210,10050,2022-05-02,2022-11-30,,,,
A010065,002,201,ALN1121,A2321,2019-04-18,2020-01-07,,,,
A010066,002,201,ALN1121,A2321,2019-05-13,2019-12-31,,,,
A010067,002,201,ALN1121,A2321,2019-05-13,2019-12-31,,,,
A010069,002,201,A3230,A001079,2019-09-04,2019-10-12,,,,
A010070,002,201,A1120,A2321,2020-07-27,2020-09-14,,,,
A010080,013,201,A1220,10023,2022-06-28,2022-11-14,,,,
A010090,013,201,A3230,10050,2022-07-12,2022-08-04,,,,
A010091,013,201,A3230,10021,2022-07-12,2022-08-04,,,,
A014015,002,201,A1110,A2321,2017-05-04,2017-11-02,,,,
A014016,001,101,A1210,A001077,2020-01-01,2022-03-21,,,,
A014017,002,201,A1220,A2351,2017-08-16,2017-09-13,,,,
A014018,002,201,A1110,A2321,2017-09-11,2017-11-17,,,,
A014019,002,201,A1110,A2321,2018-05-04,2018-06-28,,,,
A014020,001,101,A1220,A2711,2018-05-07,2018-05-12,,,,
A014104,002,201,A1110,A2321,2017-05-03,2017-07-28,,,,
A014600,002,201,A3230,A3037,2018-05-24,2019-01-24,,,,
A014601,002,201,A1220,A001017,2019-07-05,2019-09-23,,,,
A014602,004,301,A1220,A2332,2019-07-03,2019-09-16,,,,
A014603,002,201,A1220,A2432,2019-07-04,2019-11-26,,,,
A014604,004,301,A1110,10017,2022-07-01,2022-08-31,,,,
A014605,006,401,A1350,A001023,2018-08-06,2018-09-15,,,,
A014606,002,201,A1220,A3037,2019-04-29,2019-05-14,,,,
A020050,001,101,A1220,A001077,2001-06-01,2018-12-31,,,,
A020051,001,101,A1220,10041,2020-01-01,NULL,,,,
A020060,,,ALN,A001052,2009-05-11,2009-10-28,,,,
A020062,,,ALN,A2221,2007-06-22,2007-08-31,,,,
A020063,002,201,A1220,A001075,2019-04-22,2019-07-06,,,,
A020064,,,ALN,A001027,2011-06-27,2011-08-31,,,,
A020070,002,201,A2220,A2351,2013-06-14,2013-11-12,,,,
A020071,NULL,201,A2110,A2233,2012-07-03,2012-08-25,,,,
A020072,,,ALN,A001085,2009-07-13,2009-08-15,,,,
A020073,006,401,A0700,A2221,2013-08-01,2013-08-24,,,,
A020080,001,101,A2220,10041,2020-01-01,NULL,,,,
A020085,006,401,A1210,10010,2022-07-05,2022-08-31,,,,
A020100,001,101,A1120,10026,2022-06-01,NULL,,,,
A020160,,,ALN,A2221,2008-05-02,2008-10-22,,,,
A020161,004,301,A1390,A2431,2013-07-09,2013-08-31,,,,
A020170,001,101,A1350,10037,2020-01-01,2022-06-30,,,,
A020200,001,101,A2220,10047,2020-01-01,NULL,,,,
A020201,006,401,A1390,A2221,2014-07-14,2014-08-22,,,,
A020250,002,201,ALN2110,A2364,2019-06-26,2019-11-28,,,,
A020251,NULL,,ALN,A001066,2010-07-17,2010-09-16,,,,
A020265,002,201,A1220,A2351,2017-05-10,2018-02-02,,,,
A020266,002,201,A1220,A2351,2017-05-10,2018-01-30,,,,
A020267,002,201,A2110,A2321,2015-06-14,2015-11-02,,,,
A020268,002,201,A1110,A2321,2015-06-29,2015-06-30,,,,
A020269,002,201,A1110,A2321,2018-05-01,2018-06-09,,,,
A020270,002,201,A1110,A2321,2015-07-17,2015-07-20,,,,
A020271,002,201,A1110,A2321,2015-07-17,2015-07-20,,,,
A020272,002,201,A1220,A2221,2015-08-14,2015-10-31,,,,
A020275,001,101,A1110,A2622,2018-06-19,2019-01-01,,,,
A020276,002,201,A1110,A2321,2016-04-07,2016-05-31,,,,
A020277,002,201,A1220,A2351,2017-07-05,2017-09-21,,,,
A020278,001,101,A1293,10030,2020-01-01,NULL,,,,
A020279,004,301,A2110,A001085,2016-06-22,2016-08-21,,,,
A020280,004,301,ALN2110,A2364,2020-07-17,2020-08-02,,,,
A020281,006,401,A1110,A2332,2017-07-07,2017-10-03,,,,
